date_hour,updated,totalInstalls,totalReviews,rating_1,rating_2,rating_3,rating_4,rating_5,categories
2024-10-26 11,4,36356913,224,10605,1403,6082,13724,313331,"{'Sách và Tài liệu tham khảo': 1, 'Ăn uống': 1, 'Lối sống': 1, 'Mua sắm và siêu thị': 1, 'Tạo kiểu': 1, 'Ghép đôi': 1, 'Ngoại tuyến': 1, 'Một người chơi': 1, 'Giải đố': 1}"
2024-10-26 12,4,42236033,147,18635,6577,11510,25212,170459,"{'Phổ thông': 1, 'Doanh nghiệp': 2, 'Công cụ': 1}"
2024-10-26 13,1,7050317,80,5985,1197,2693,6584,51178,"{'Ngoại tuyến': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Trắc nghiệm': 1, 'Một người chơi': 1, 'Phổ thông': 1, 'Nhiều người chơi': 1, 'Thực tế': 1, 'Đố vui': 1}"
2024-10-26 14,1,508205,6,152,30,121,30,547,{'Cá nhân hóa': 1}
2024-10-26 15,1,9434213,115,626,121,313,1079,4352,"{'Trò chơi trí tuệ': 1, 'Tạo kiểu': 1, 'Phổ thông': 1, 'Một người chơi': 1, 'Giải đố': 1}"
2024-10-26 19,1,2556224,17397,2335,929,2416,9324,59978,{'Lối sống': 1}
2024-10-26 21,3,24307229,6664,40387,8310,13333,53796,524748,"{'Nhập vai theo lượt': 1, 'Nhập vai': 1, 'Một người chơi': 1, 'Nhiều người chơi': 1, 'Tạo kiểu': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Đua xe': 1, 'Nhà cửa': 1}"
2024-10-26 22,1,152073,53,327,20,61,102,675,{'Giải trí': 1}
2024-10-27 01,1,4976845,0,0,0,0,0,0,{'Doanh nghiệp': 1}
2024-10-27 08,1,41886347,8347,44672,6469,24805,130611,667756,{'Giáo dục': 1}
2024-10-27 12,2,170367953,20372,68976,24796,38287,127353,1106261,"{'Bản đồ và dẫn đường': 1, 'Tạo kiểu': 1, 'Một người chơi': 1, 'Thế giới mở': 1, 'Ngoại tuyến': 1, 'Đồ hoạ pixel': 1, 'Phổ thông': 1, 'Mô phỏng': 1}"
2024-10-27 14,2,9860833,40,2045,1617,1874,770,27260,"{'Giải trí': 1, 'Giáo dục': 1}"
2024-10-27 15,1,1665903,13,2851,0,570,0,7413,"{'Hành động': 1, 'Bắn súng chiến thuật': 1, 'Bắn súng': 1, 'Nhiều người chơi': 1, 'Tạo kiểu': 1, 'Nhiều người chơi cùng cạnh tranh': 1}"
2024-10-27 16,1,2933900,7,17659,8829,0,2943,52979,{'Giải trí': 1}
2024-10-27 20,1,18554196,603,14595,3243,9730,30811,126490,"{'Lái xe tốc độ': 1, 'Đua xe': 1, 'Một người chơi': 1, 'Ngoại tuyến': 1, 'Tạo kiểu': 1, 'Phổ thông': 1}"
2024-10-28 02,1,540752169,970,640960,171158,688177,1126107,4960068,"{'Hành động': 1, 'Sinh tồn': 1, 'Tạo kiểu': 1, 'Một người chơi': 1, 'Cá mập': 1, 'Phiêu lưu – hành động': 1, 'Ngoại tuyến': 1, 'Trò chơi arcade': 1, 'Động vật': 1, 'Đại dương': 1}"
2024-10-28 03,1,58688,0,0,0,0,0,0,{'Công cụ': 1}
2024-10-28 04,1,2016632,45,757,189,378,946,17605,{'Lối sống': 1}
2024-10-28 05,1,56269,0,0,0,0,0,0,{'Liên lạc': 1}
2024-10-28 07,3,2311022,206,2360,90,530,253,13640,"{'Xã hội': 1, 'Ngoại tuyến': 1, 'Tạo kiểu': 1, 'Xe': 1, 'Mô phỏng đỗ xe': 1, 'Mô phỏng': 1, 'Một người chơi': 1, 'Liên lạc': 1}"
2024-10-28 08,6,23685320,3476,17995,1576,3511,14372,105489,"{'Năng suất': 1, 'Nhạc và Âm thanh': 1, 'Thời tiết': 1, 'Giải trí': 1, 'Nghệ thuật và thiết kế': 1, 'Bắn súng': 1, 'Nhiều người chơi': 1, 'Xe chiến đấu': 1, 'Ngoại tuyến': 1, 'Hành động': 1, 'Rô-bốt': 1, 'Một người chơi': 1, 'Phổ thông': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Tạo kiểu': 1}"
2024-10-28 09,17,99357803,9842,82579,14629,45828,104384,1211078,"{'Tin tức và Tạp chí': 1, 'Ngoại tuyến': 4, 'Tạo kiểu': 4, 'Mô phỏng': 1, 'Một người chơi': 4, 'Phổ thông': 5, 'Nhập vai': 1, 'Giả tưởng thời trung cổ': 1, 'Roguelike': 1, 'Giả tưởng': 1, 'Sách và Tài liệu tham khảo': 1, 'Năng suất': 1, 'Giải trí': 1, 'Giáo dục': 3, 'Thể thao': 1, 'Nghệ thuật và thiết kế': 1, 'Hoạt hình': 1, 'Xã hội': 1, 'Nhạc và Âm thanh': 1, 'Doanh nghiệp': 1, 'Vũ khí': 1, 'Trường bắn': 1, 'Súng': 1, 'Bắn súng': 1, 'Hành động': 1}"
2024-10-28 10,17,38915232,1093,22418,3101,12363,22059,166994,"{'Đồ hoạ pixel': 1, 'Chiến thuật': 1, 'Chiến đấu': 1, 'Một người chơi': 8, 'Giả tưởng': 1, 'Phổ thông': 8, 'Thủ thành': 1, 'Tạo kiểu': 4, 'Nhà cửa': 1, 'Ngoại tuyến': 5, 'Làm nông trại': 1, 'Mô phỏng': 3, 'Quản lý': 2, 'Năng suất': 1, 'Công cụ': 1, 'Liên lạc': 1, 'Nhiếp ảnh': 1, 'Xe': 1, 'Thực tế': 1, 'Giải đố': 4, 'Trừu tượng': 3, 'Logic': 1, 'Mua sắm': 1, 'Phiêu lưu – hành động': 1, 'Hành động': 1, 'Sinh tồn': 1, 'Doanh nghiệp': 1, 'Xếp hình': 1, 'Giáo dục': 1}"
2024-10-28 11,30,62509536,673,29291,3497,8536,24498,178082,"{'Nhiếp ảnh': 1, 'Y tế': 1, 'Xem và sửa video': 1, 'Tạo kiểu': 14, 'Một người chơi': 12, 'Vẽ': 1, 'Thủ công mỹ nghệ': 1, 'Ngoại tuyến': 10, 'Giáo dục': 3, 'Phổ thông': 12, 'Mua sắm': 1, 'Doanh nghiệp': 2, 'Sách và Tài liệu tham khảo': 1, 'Hành động': 3, 'Phiêu lưu – hành động': 2, 'Kinh dị sống còn': 1, 'Quản lý thời gian': 1, 'Mô phỏng': 8, 'Nấu ăn': 1, 'Mô phỏng xe tải': 2, 'Xe': 5, 'Cá nhân hóa': 1, 'Liên lạc': 1, 'Bản đồ và dẫn đường': 1, 'Công cụ': 1, 'Giải đố': 1, 'Trò chơi trí tuệ': 1, 'Mô phỏng đỗ xe': 1, 'Du lịch và Địa phương': 2, 'Nhà cửa': 1, 'Trò chơi nhỏ': 1, 'Đồ hoạ pixel': 1, 'Quản lý': 1, 'Cuộc sống': 1, 'Hoạt hình Nhật Bản': 1, 'Nhiều người chơi': 1, 'Trường bắn': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Bắn súng': 1, 'Thể thao': 1, 'Bắn cung': 1}"
2024-10-28 12,18,46917188,825,6369,1118,8777,33179,464165,"{'Giáo dục': 2, 'Mô phỏng': 2, 'Mô phỏng xe tải': 2, 'Xe': 2, 'Tin tức và Tạp chí': 1, 'Doanh nghiệp': 1, 'Giải đố': 2, 'Phổ thông': 2, 'Một người chơi': 2, 'Tạo kiểu': 1, 'Trò chơi trí tuệ': 1, 'Lối sống': 3, 'Thể thao': 1, 'Sức khỏe và Thể hình': 1, 'Ngoại tuyến': 1, 'Thực tế': 1, 'Ô tô và xe cộ': 1, 'Du lịch và Địa phương': 1, 'Nhiếp ảnh': 1, 'Giải trí': 1, 'Phiêu lưu': 1}"
2024-10-28 13,16,18620567,2121,4653,2034,4102,13478,106863,"{'Nhiếp ảnh': 2, 'Phổ thông': 3, 'Nhập vai': 1, 'Tạo kiểu': 2, 'Cạnh tranh': 1, 'Chiến đấu': 1, 'Một người chơi': 3, 'Nhàn rỗi nhập vai': 1, 'Tin tức và Tạp chí': 1, 'Đố vui': 1, 'Công cụ': 3, 'Giải trí': 1, 'Sức khỏe và Thể hình': 1, 'Solitaire': 1, 'Ngoại tuyến': 2, 'Bài': 1, 'Năng suất': 1, 'Xem và sửa video': 1, 'Hành động': 1, 'Mua sắm': 1, 'Truyện tranh': 1}"
2024-10-28 14,2,868182,1,1603,0,0,0,3207,"{'Năng suất': 1, 'Nhiếp ảnh': 1}"
2024-10-28 15,2,1648171,64,548,71,113,529,2887,"{'Chiến thuật': 1, 'Giải trí': 1}"
2024-10-28 16,3,2862794,41,1870,151,354,481,3726,"{'Giải trí': 1, 'Cá nhân hóa': 1, 'Sách và Tài liệu tham khảo': 1}"
2024-10-28 17,4,2744965,2,324,668,162,658,11689,"{'Cá nhân hóa': 1, 'Mô phỏng': 1, 'Giáo dục': 1, 'Công cụ': 1}"
2024-10-28 18,4,5893235,2098,2203,358,3629,13747,74514,"{'Một người chơi': 2, 'Quản lý': 1, 'Ngoại tuyến': 2, 'Tạo kiểu': 2, 'Phổ thông': 2, 'Làm nông trại': 1, 'Mô phỏng': 1, 'Giải trí': 1, 'Nhiếp ảnh': 1, 'Hành động': 1, 'Giao đấu': 1, 'Chiến đấu': 1}"
2024-10-28 19,3,2246278,7,504,504,504,504,3534,"{'Hành động': 1, 'Giải trí': 1, 'Thể thao': 1}"
2024-10-28 20,5,2150576,37,701,160,162,1403,6181,"{'Thể thao': 1, 'Cá nhân hóa': 1, 'Tin tức và Tạp chí': 3}"
2024-10-28 21,3,2184478,0,0,0,0,0,0,"{'Lối sống': 2, 'Doanh nghiệp': 1}"
2024-10-28 22,3,2298708,21,1353,0,192,2899,18310,"{'Giải trí': 1, 'Cá nhân hóa': 1, 'Sách và Tài liệu tham khảo': 1}"
2024-10-28 23,1,599935,0,0,0,0,0,0,{'Phổ thông': 1}
2024-10-29 00,3,2520968,244,1758,0,0,1758,32316,"{'Giáo dục': 2, 'Khoa học viễn tưởng và giả tưởng': 1, 'Tạo kiểu': 1, 'Phổ thông': 1, 'Một người chơi': 1, 'Chiến đấu': 1, 'Giả tưởng': 1, 'Phiêu lưu': 1, 'Nhiều người chơi': 1, 'Nhiều người chơi cùng cạnh tranh': 1, 'Tương tác theo cốt truyện': 1}"
2024-10-29 01,2,1558318,36,160,675,0,1158,5665,"{'Nghệ thuật và thiết kế': 1, 'Phiêu lưu': 1}"
2024-10-29 02,5,3912470,13,472,69,200,139,1659,"{'Công cụ': 1, 'Lối sống': 1, 'Doanh nghiệp': 1, 'Mua sắm': 2}"
2024-10-29 03,4,20187580324,247614,4570875,1057895,1695970,3512021,32946633,"{'Giải trí': 1, 'Hoạt hình Nhật Bản': 1, 'Lãng mạn': 1, 'Phổ thông': 1, 'Mô phỏng': 1, 'Cuộc sống': 1, 'Tạo kiểu': 1, 'Một người chơi': 1, 'Hẹn hò': 1, 'Mua sắm': 1, 'Công cụ': 1}"
2024-10-29 04,7,4813764,36,5881,1262,2864,3677,21121,"{'Tin tức và Tạp chí': 1, 'Doanh nghiệp': 1, 'Du lịch và Địa phương': 1, 'Mô phỏng': 1, 'Quản lý thời gian': 1, 'Ngoại tuyến': 1, 'Phổ thông': 1, 'Một người chơi': 1, 'Tạo kiểu': 1, 'Ăn uống': 1, 'Công cụ': 1, 'Lối sống': 1}"
2024-10-29 05,5,3754770,197,2815,1512,833,3848,32733,"{'Giả tưởng': 1, 'Tiên hiệp': 1, 'Tạo kiểu': 1, 'Nhập vai': 1, 'Nhập vai trực tuyến siêu nhiều người chơi': 1, 'Giả tưởng phương Đông': 1, 'Phổ thông': 1, 'Cá nhân hóa': 1, 'Nhạc và Âm thanh': 2, 'Xã hội': 1}"
2024-10-29 06,7,6240824,16,847,340,348,881,2228,"{'Lối sống': 1, 'Mua sắm': 1, 'Mô phỏng': 2, 'Năng suất': 1, 'Ô tô và xe cộ': 1, 'Xem và sửa video': 1}"
